seed,count,less_count
512,7000,6847
512,7500,7424
512,8000,7936
512,8500,8438
512,9000,9089
512,9500,9663
512,10000,10014
512,10500,10678
512,11000,11192
512,11500,11679
512,12000,12248
512,12500,12833
512,13000,13197
512,13500,13757
512,14000,14040
512,14500,14806
512,15000,15132
512,15500,15558
512,16000,16084
512,16500,16737
512,17000,17084
512,17500,17932
512,18000,18223
512,18500,18953
512,19000,19266
512,19500,19791
512,19900,20252
356,200,146
356,300,263
356,400,364
356,500,465
356,600,598
356,700,691
356,800,776
356,900,868
356,1000,1031
356,1500,1562
356,2000,2084
356,2500,2552
356,3000,3141
356,3500,3638
356,4000,4161
356,4500,4700
356,5000,5143
356,5500,5665
356,6000,6119
356,6500,6699
356,7000,7168
356,7500,7623
356,8000,8062
356,8500,8544
356,9000,9067
356,9500,9478
356,10000,10162
356,10500,10634
356,11000,11177
356,11500,11619
356,12000,12312
356,12500,12672
356,13000,13416
356,13500,13917
356,14000,14495
356,14500,14748
356,15000,15308
356,15500,15604
356,16000,16287
356,16500,16847
356,17000,17282
356,17500,17777
356,18000,18288
356,18500,18663
356,19000,19058
356,19500,19673
356,19900,20022
707,200,225
707,300,313
707,400,395
707,500,457
707,600,609
707,700,706
707,800,772
707,900,894
707,1000,952
707,1500,1554
707,2000,2003
707,2500,2486
707,3000,3011
707,3500,3482
707,4000,3889
707,4500,4472
707,5000,4933
707,5500,5658
707,6000,6048
707,6500,6541
707,7000,7123
707,7500,7663
707,8000,8242
707,8500,8720
707,9000,9236
707,9500,9813
707,10000,10189
707,10500,10884
707,11000,11192
707,11500,11802
707,12000,12125
707,12500,12617
707,13000,13114
707,13500,13511
707,14000,14102
707,14500,14525
707,15000,15005
707,15500,15437
707,16000,15871
707,16500,16508
707,17000,17082
707,17500,17655
707,18000,18065
707,18500,18568
707,19000,19220
707,19500,19542
707,19900,19780
310,200,221
310,300,326
310,400,447
310,500,550
310,600,704
310,700,782
310,800,899
310,900,1027
310,1000,1098
310,1500,1598
310,2000,2146
310,2500,2688
310,3000,3135
310,3500,3611
310,4000,4174
310,4500,4595
310,5000,5082
310,5500,5570
310,6000,6098
310,6500,6607
310,7000,7042
310,7500,7456
310,8000,8203
310,8500,8701
310,9000,9106
310,9500,9664
310,10000,10099
310,10500,10563
310,11000,11087
310,11500,11661
310,12000,12269
310,12500,12659
310,13000,13022
310,13500,13434
310,14000,14191
310,14500,14638
310,15000,15068
310,15500,15665
310,16000,16208
310,16500,16553
310,17000,17014
310,17500,17748
310,18000,18015
310,18500,18664
310,19000,19285
310,19500,19768
310,19900,20218
916,200,244
916,300,288
916,400,409
916,500,528
916,600,614
916,700,701
916,800,837
916,900,880
916,1000,1062
916,1500,1622
916,2000,2074
916,2500,2511
916,3000,3097
916,3500,3577
916,4000,4024
916,4500,4592
916,5000,5061
916,5500,5594
916,6000,6021
916,6500,6581
916,7000,6994
916,7500,7662
916,8000,8206
916,8500,8567
916,9000,9171
916,9500,9527
916,10000,10038
916,10500,10480
916,11000,11214
916,11500,11568
916,12000,12148
916,12500,12662
916,13000,13248
916,13500,13743
916,14000,14107
916,14500,14494
916,15000,15200
916,15500,15662
916,16000,16293
916,16500,16886
916,17000,17143
916,17500,17696
916,18000,18325
916,18500,18737
916,19000,19147
916,19500,19882
916,19900,20037
650,200,193
650,300,312
650,400,386
650,500,504
650,600,572
650,700,630
650,800,780
650,900,941
650,1000,962
650,1500,1523
650,2000,1988
650,2500,2554
650,3000,3051
650,3500,3528
650,4000,3972
650,4500,4524
650,5000,4994
650,5500,5531
650,6000,6054
650,6500,6580
650,7000,7165
650,7500,7597
650,8000,8129
650,8500,8632
650,9000,9101
650,9500,9633
650,10000,10048
650,10500,10609
650,11000,11055
650,11500,11527
650,12000,12270
650,12500,12721
650,13000,13230
650,13500,13671
650,14000,14185
650,14500,14739
650,15000,15104
650,15500,15814
650,16000,16128
650,16500,16602
650,17000,17122
650,17500,17711
650,18000,18117
650,18500,18591
650,19000,19081
650,19500,19662
650,19900,20281
209,200,238
209,300,309
209,400,413
209,500,540
209,600,637
209,700,757
209,800,861
209,900,962
209,1000,1049
209,1500,1541
209,2000,2117
209,2500,2610
209,3000,3102
209,3500,3636
209,4000,4041
209,4500,4670
209,5000,5110
209,5500,5589
209,6000,6102
209,6500,6613
209,7000,7176
209,7500,7644
209,8000,8146
209,8500,8657
209,9000,9222
209,9500,9766
209,10000,10071
209,10500,10621
209,11000,11049
209,11500,11561
209,12000,12057
209,12500,12540
209,13000,13049
209,13500,13559
209,14000,14098
209,14500,14578
209,15000,15258
209,15500,15697
209,16000,16058
209,16500,16558
209,17000,17005
209,17500,17623
209,18000,18282
209,18500,18840
209,19000,19533
209,19500,19896
209,19900,20182
503,200,194
503,300,345
503,400,416
503,500,508
503,600,651
503,700,741
503,800,812
503,900,910
503,1000,1018
503,1500,1434
503,2000,1967
503,2500,2569
503,3000,2947
503,3500,3432
503,4000,4023
503,4500,4532
503,5000,5084
503,5500,5516
503,6000,5974
503,6500,6495
503,7000,7077
503,7500,7514
503,8000,7995
503,8500,8629
503,9000,9262
503,9500,9701
503,10000,10023
503,10500,10568
503,11000,11067
503,11500,11668
503,12000,11885
503,12500,12480
503,13000,13158
503,13500,13514
503,14000,14108
503,14500,14761
503,15000,15097
503,15500,15537
503,16000,16086
503,16500,16674
503,17000,17340
503,17500,17821
