seed,count,less_count
310,700,410
310,800,457
310,900,522
310,1000,518
310,1500,780
310,2000,1033
310,2500,1314
310,3000,1567
310,3500,1801
310,4000,2101
310,4500,2319
310,5000,2562
310,5500,2817
310,6000,3117
310,6500,3272
310,7000,3542
310,7500,3730
310,8000,4086
310,8500,4292
310,9000,4530
310,9500,4804
310,10000,5003
310,10500,5232
310,11000,5477
310,11500,5817
310,12000,6119
310,12500,6273
310,13000,6526
310,13500,6738
310,14000,7099
310,14500,7209
310,15000,7371
310,15500,7774
310,16000,8107
310,16500,8225
310,17000,8591
310,17500,8774
310,18000,9087
310,18500,9322
310,19000,9627
310,19500,9786
310,19900,10103
916,200,126
916,300,151
916,400,210
916,500,268
916,600,316
916,700,366
916,800,410
916,900,429
916,1000,531
916,1500,821
916,2000,1057
916,2500,1226
916,3000,1531
916,3500,1793
916,4000,1995
916,4500,2329
916,5000,2541
916,5500,2793
916,6000,3002
916,6500,3301
916,7000,3514
916,7500,3861
916,8000,4069
916,8500,4240
916,9000,4510
916,9500,4709
916,10000,4972
916,10500,5237
916,11000,5611
916,11500,5761
916,12000,6017
916,12500,6336
916,13000,6627
916,13500,6886
916,14000,7042
916,14500,7248
916,15000,7591
916,15500,7856
916,16000,8121
916,16500,8475
916,17000,8627
916,17500,8897
916,18000,9120
916,18500,9357
916,19000,9706
916,19500,9813
916,19900,9995
650,200,93
650,300,158
650,400,186
650,500,248
650,600,280
650,700,312
650,800,372
650,900,459
650,1000,473
650,1500,722
650,2000,969
650,2500,1257
650,3000,1531
650,3500,1744
650,4000,1981
650,4500,2244
650,5000,2496
650,5500,2741
650,6000,3061
650,6500,3308
650,7000,3556
650,7500,3814
650,8000,4080
650,8500,4328
650,9000,4550
650,9500,4834
650,10000,4982
650,10500,5238
650,11000,5547
650,11500,5763
650,12000,6093
650,12500,6301
650,13000,6638
650,13500,6856
650,14000,7110
650,14500,7403
650,15000,7548
650,15500,8018
650,16000,8048
650,16500,8273
650,17000,8586
650,17500,8893
650,18000,9105
650,18500,9341
650,19000,9511
650,19500,9891
650,19900,10134
209,200,109
209,300,162
209,400,209
209,500,279
209,600,314
209,700,389
209,800,426
209,900,480
209,1000,520
209,1500,765
209,2000,1055
209,2500,1289
209,3000,1521
209,3500,1797
209,4000,2034
209,4500,2359
209,5000,2598
209,5500,2808
209,6000,3035
209,6500,3335
209,7000,3607
209,7500,3843
209,8000,4078
209,8500,4378
209,9000,4687
209,9500,4954
209,10000,5075
209,10500,5345
209,11000,5611
209,11500,5834
209,12000,6159
209,12500,6328
209,13000,6558
209,13500,6774
209,14000,7113
209,14500,7336
209,15000,7628
209,15500,7943
209,16000,8063
209,16500,8269
209,17000,8493
209,17500,8800
209,18000,9106
209,18500,9430
209,19000,9773
209,19500,9892
209,19900,10054
503,200,99
503,300,174
503,400,217
503,500,266
503,600,331
503,700,372
503,800,427
503,900,478
503,1000,494
503,1500,707
503,2000,965
503,2500,1293
503,3000,1497
503,3500,1735
503,4000,1993
503,4500,2223
503,5000,2529
503,5500,2707
503,6000,2933
503,6500,3179
503,7000,3530
503,7500,3675
503,8000,3989
503,8500,4269
503,9000,4678
503,9500,4852
503,10000,5004
503,10500,5285
503,11000,5555
503,11500,5837
503,12000,5958
503,12500,6220
503,13000,6499
503,13500,6751
503,14000,7025
503,14500,7373
503,15000,7603
503,15500,7696
503,16000,8026
503,16500,8384
503,17000,8688
503,17500,8836
503,18000,9058
503,18500,9445
503,19000,9547
503,19500,9900
503,19900,10090
480,200,120
480,300,161
480,400,212
480,500,240
480,600,289
480,700,359
480,800,410
480,900,448
480,1000,504
480,1500,745
480,2000,1039
480,2500,1288
480,3000,1549
480,3500,1710
480,4000,2027
480,4500,2216
480,5000,2471
480,5500,2685
480,6000,3066
480,6500,3272
480,7000,3471
480,7500,3742
480,8000,3962
480,8500,4182
480,9000,4546
480,9500,4738
480,10000,5035
480,10500,5173
480,11000,5425
480,11500,5774
480,12000,6031
480,12500,6224
480,13000,6516
480,13500,6799
480,14000,6962
480,14500,7273
480,15000,7534
480,15500,7731
480,16000,8025
480,16500,8345
480,17000,8509
480,17500,8718
480,18000,9080
480,18500,9424
480,19000,9374
480,19500,9802
480,19900,10210
408,200,79
408,300,134
408,400,180
408,500,240
408,600,267
408,700,300
408,800,394
408,900,430
408,1000,469
408,1500,716
408,2000,952
408,2500,1226
408,3000,1395
408,3500,1637
408,4000,1837
408,4500,2128
408,5000,2345
408,5500,2656
408,6000,2898
408,6500,3240
408,7000,3517
408,7500,3695
408,8000,3904
408,8500,4157
408,9000,4486
408,9500,4713
408,10000,4950
408,10500,5255
408,11000,5550
408,11500,5874
408,12000,6033
408,12500,6275
408,13000,6568
408,13500,6903
408,14000,7118
408,14500,7241
408,15000,7590
408,15500,7756
408,16000,8041
408,16500,8417
408,17000,8578
408,17500,8737
408,18000,9148
408,18500,9374
408,19000,9519
408,19500,9864
408,19900,10034
714,200,99
714,300,133
714,400,183
714,500,240
714,600,274
714,700,302
714,800,347
714,900,382
714,1000,455
714,1500,710
714,2000,934
714,2500,1207
714,3000,1482
714,3500,1715
714,4000,1969
714,4500,2235
714,5000,2428
714,5500,2806
714,6000,3016
714,6500,3239
714,7000,3494
714,7500,3860
714,8000,4103
714,8500,4280
714,9000,4440
714,9500,4696
714,10000,4990
714,10500,5162
714,11000,5567
714,11500,5676
714,12000,5986
714,12500,6096
714,13000,6488
714,13500,6714
714,14000,6932
714,14500,7188
